a	art.一(个，件，...)
eh	interj.(惊奇)啊! 嗯!
eiderdown	n. 鸭的绒毛,鸭绒被
eight	num.八
eighteen	num.十八，十八个
eighteenth	a. 第十八的,第十八,第十八日
eighth	num.第八 n.八分之一
eightieth	a. 第八十的,第八十,八十分之一的
eighty	num.八十，八十个
einstein	n. 爱因斯坦(物理学家)
either	conj.或者， 要么
either...or	conj. 不是…就是；或…或…
either...or...	或者…或者…
ejaculate	v. 突然叫出或说出，射出
ejaculation	n. 突然大叫
eject	vt.逐出，排斥；喷射
ejection	n. 喷射
eke	vt. 补充,增加
eke out	使能持久，竭力维持
elaborate	a.复杂的；精心制作的
elaboration	n. 详细说明，细致的工作
elan	n. 精力；干劲
elapse	vi.(时间)过去，消逝
elapsed	vi. & n. 经过
elastic	n.松紧带 a.有弹性的
elastic demand	弹性需求
elastic limit	伸缩限度
elastic tariff	弹性关税
elasticity	n. 弹性伸缩力
elate	vt. 使兴高采烈的,使得意
elated	adj. 得意洋洋的，振奋的
elation	n. 得意扬扬；得意，振奋；兴高采烈
elbow	vt.用肘挤，挤进
elder	a.年龄较大的 n.长者
elderberry	n. 接骨木之果实,接骨木
elderly	a. 过了中年的,稍老的
eldest	 adj.  (因兄弟等的血缘关系) 最年长的
elect	vt.选举，推选；选择
elect president	选举总统
election	n.选举，选择权；当选
electioneer	vi. 从事选举活动
elective	a. 选举的,根据选举的,选任的
elector	n. 有选举权的人,选举人
electoral	a. 选举人的,选举的,选帝侯的
electorate	n. (全体)选民
electric	a.电的，电动的
electric motor	电机
electrical	a.电的，电气科学的
electrician	n.电工，电气技师
electricity	n.电，电学；电流
electricity board	供电局
electrify	vt.使触电；使充电
electrocardiograph	n. 心(动)电图描记器
electrocute	vt. 触电而死
electrode	n.电极；电焊条
electrolysis	n.电
electrolyte	n. 电解物,电解质,电解液
electromagnet	n. 电磁石
electromagnetic	adj. 电磁的
electrometer	n. 静电计
electromotive	a. 起电的
electron	n.电子
electronic	a.电子的
electronic brain	电脑
electronic currency	电子货币
electronics	n. 电子学
electrotype	n. 电版
eleemosynary corporation	慈善团体
elegance	n. 典雅；雅致
elegant	a.(举止、服饰)雅致的
elegantly	adv. 雅致地，漂亮地
elegent	a. 雅致的，优美的
elegiacal	adj. 挽歌的；哀悼的
elegy	n. 哀歌、挽歌
element	n.元素；要素；成分
elemental	a.基本的；自然力的
elementary	a.基本的；初级的
elementary particle	基本粒子
elements	n. 自然力
elephant	n.象
elephant calf	n. 小象
elephantine	adj. 笨拙的，巨大的
elephent	n. 象
elevate	vt.提高(思想)；抬高
elevation	n.高度；标高；隆肿
elevator	n.电梯；升降机
eleven	num.十一
eleven-plus	a. 11岁以上的
eleventh	num.第十一(个)
elf	n. 小精灵，矮子，淘气鬼
elfin	a. 小妖精的,象小妖精的
elfish	a. 如小精灵的,好恶作剧的,小妖精的
elicit	v. 引出探出
eligibility	n. 适任,合格
eligible	adj. 适合被选的，合格的
eligible bill	合法票据，可再兑现票据
eligible for	合格的，适当的
eligible paper	合格票据
eligible product	合格产品
eligible reserves	合格准备金
eligible value date	有效交割日
eliminate	vt.消灭，消除，排除
elimination	n.消灭，排除，消除
elite	n. 精华，中坚；名流
elitism	n. 精英论，优秀人士统治
elixir	n. 长生不老药，仙丹妙药
Elizabethan	a. 伊莉莎白一世时代的,伊莉莎白女王的
elk	n. 麋鹿
ell	旧时的量布长度
ellipse	n. 椭圆(形)
ellipsis	n. 省略；
elliptic	a. 椭圆(形)的
elliptical	a.椭圆的；省略的
elm	n. 榆树
elocution	n. 演说术
elongate	v. 延长，伸长
elongation	n. 延伸
elope	v. 私奔
eloquence	n.雄辩；口才，修辞
eloquent	adj. 雄辩的，演说动人的
else	adj.别的 adv.另外
elsewhere	ad.在别处，向别处
elucidate	v. 阐明说明
elucidation	n. 说明,阐明
elude	v. 逃避，
elusive	adj. 难懂的
elusory	a. 难以捉摸的
elves	elf的复数
Elysian	a. 乐土的,象天堂的
emaciate	v. 使瘦弱
emaciated	adj. 瘦弱的
emaciation	n. 瘦弱,憔悴,衰弱
email	n.电子邮件
emanate	vi. 发出；散发
emanation	n. 散发,发出
emanative	adj. 发散的
emancipate	v. 解放，解除
emancipation	n. 释放，解脱
emasculate	v. 阉割，使…无力
embalm	vt. 以药物防腐,铭记于心,使不朽
embankment	n. 堤岸，路基
embargo	n. 禁运令，封港令
embargo and blockade	封锁禁运
embargo list	禁运货单
embark	vi. 乘船,着手,从事,上飞机
embark action notice	上船须知
embark funds to	拨款给
embarkation	装载
embarkation card	登机证，上船证
embarkation notice	乘船(或飞机)通知
embarrass	vt.使负债；使复杂化
embarrassed	a. 窘迫，尴尬
embarrassing	 adj. 令人为难的；令人尴尬的
embarrassment	n. 困难,阻碍,困窘
embassy	n.大使馆；大使的职务
embattled	adj. 作好战斗准备的,摆好阵势的
embed	v. 牢牢插于，嵌于
embellish	v. 装饰润饰
embellishment	n. 装饰,润色,修饰
ember	n. 灰烬,余烬
embezzle	v. 盗用，侵吞
embezzle public funds	贪污公款，盗用公款
embezzlement	n. 贪污，侵吞
embezzler	盗用公款者
embitter	v. 使痛苦，使难受
emblazon	vt. 用纹章装饰,盛饰,颂扬
emblem	n. 象征，标志
emblematic	adj. 作为象征的
embodiment	n. 化身，体现
embody	vt.体现；包含，收录
embolden	v. 鼓励，给…壮胆
embosom	vt. 围绕,环绕,珍爱
emboss	v. 加浮雕花纹于，使凸出
embower	 vt. 以树叶遮盖; 使…隐于树叶中
embrace	vt.包括，包含；包围
embrasure	n. 枪眼,炮眼
embroider	v. 刺绣，修饰
embroidered	adj. 绣花的
embroidery	n.绣花，刺绣；绣制品
embroil	v. 牵连，卷入纠纷
embryo	n. 胚胎
embryonic	adj. 胚胎的，萌芽期的
emend	v. 修正；校订；订正，vt. 修正，修订
emendation	n. 订正，校订
emerald	n. 祖母绿，翡翠adj. 翠绿色的
emerge	vi.出现，涌现；冒出
emerge from the womb	脱离母胎
emergence	n. 出现
emergency	n.紧急情况，突然事件
emergency call	紧急电话
emergency credit	紧急信用
emergency exit	紧急出口
emergency loan	紧急贷款
emergency room	急诊室；争诊室
emergent	n. 紧急的，突然出现的，必然发生的
emerging nation	新兴国家
emeritus	a. 名誉退休的,退休的
emery	n. 金刚砂
emetic	n. 催吐药
emigrant	n. 移民,侨民
emigrate	vi.永久移居国外
emigration	n. 移民,移居
eminence	n. 卓越、杰出
eminent	adj. 著名的、显著的
eminent domain	国家征用权
emir	n. 酋长,王侯
emissary	n. 密使，特使
emission	n.散发；传播；发出物
emit	vt.散发；发射；发表
emollient	n. 润肤剂
emolument	n. 报酬，薪水
emote	v. 激动地，表达感情
emotion	n.感情；情绪；激动
emotional	a.感情的，情绪的
emotionally	ad. 感情上
empathy	n. 心意相通，(感情等)融为一体
emperical	n. 经验主义的
emperor	n.皇帝
emphasis	n.强调，重点，重要性
emphasise	vt. 加强…的语气，强调，着重
emphasize	vt.强调，着重
emphatic	a. 语调强的,用力的,强调了的
emphatically	ad. 强调地；断然地
emphysema	n. 肺气肿
empire	n.帝国
empiric	n. 经验主义者,江湖医生
empirical	a.经验主义的
empirical evidence	经验证明
empirically	ad. 经验主义地
empiricism	n. 经验主义，经验论
employ	vi.雇用；用；使忙于
employ oneself in	使忙于，使从事于
employe	vt. 使用，花费
employee	n.受雇者，雇员，雇工
employee benefit trust	职工福利信托
employer	n.雇佣者，雇主
employment	n.工业；雇用；使用
employment experience	就业经历
employment office	职业介绍所
emporium	n. 商场，商业中心
empower	vt. 授予权力,允许,使能够
empress	n. 皇后,女皇帝
emprical	a. 经验主义的
emprise	n.冒险事业; 侠义行为
emptiness	n. 空虚,无知
empty	a.空的；空洞的
empty of	缺乏，无
empty weight	自重
empurpled	] adj. 变成紫色的
empyreal	adj. 天空的(empyreal heights天空高处)
empyrean	n. 天空、天神居处
emulate	v. 努力赶上或超越
emulation	n. 竞争，仿效
emulator	n. 仿真器，仿真程序
emulous	a. 竞争性的,富于竞争的,求声名的,
emulsify	v. 使乳化
emulsion	n. 乳状液,乳剂
en route	adv. 在途中
enable	vt.使能够，使可能
enact	v. 制定(法律)，扮演(角色)
enactment	n. 颁布，扮演
enamel	n. 珐琅,瓷釉
enamor	vt. 迷住,使迷恋
enamored	adj. 倾心的；被迷住的
enamour	vt. 迷住,使迷恋
enamoured	adj. 珍爱的，喜爱的
encamp	vi. 扎营,露营
encampment	n. 露营,宿营
encapsulate	v. 装入胶囊，压缩
encase	vt. 围住，包起；把...装入箱内
encash	把…兑现兑现，取得现金
encephalitis	n. 脑炎
enchain	vt. 束缚,以铁练绑住
enchant	vt.迷住；用魔法迷惑
enchanter	n. 行妖术的人,魔法师
enchanting	adj. 讨人喜欢的
enchantment	n. 着魔，喜悦
enchantress	n. 妖妇,女巫
encipher	v. 译成密码
encircle	vt. 环绕
enclave	n. 被包围的领土
enclose	vt.围住，圈起；附上
enclosed	附入包装，封入
enclosure	n.围绕；围场，围栏
encls	附件，内封物(缩)
encode	vt. 编码
encomiastic	a. 赞颂的,阿谀的
encomium	n. 赞颂，颂辞
encompass	v. 包围，围绕
encore	n. 再演唱的要求,经要求而再唱
encounter	vt.遭遇，遇到 n.遭遇
encourage	vt.鼓励，支持，助长
encouraged	被鼓励的
encouragement	n. 鼓励,激励,奖励
encouragingly	ad. 鼓励地
encroach	v. 侵占，蚕食
encroaching	a. 渐渐渗入的
encroachment	n. 侵入，侵犯
encrust	vt. 包外壳,镶嵌
encumber	v. 妨害，阻碍
encumbrance	n. 妨碍物，累赘
encunter	v. 遭遇，遭到
encyclopaedia	n.百科全书
encyclopaedic	a. 广博的
encyclopedia	n. 百科全书
encyclopedic	adj. 广博的，知识渊博的
encyst	vt. 把...包在囊内
end	n.目标，目的
end delivery date	最后交货日期
end in	以…为结果
end money	备用款
end off	结束
end product	最终产品
end up	结束，告终；竖着
end up with	以…而结束
end with	以…结束
endanger	vt.危及，危害
endear	vt. 使受喜爱
endearing	a. 引起亲昵感情的
endearment	n. 亲爱的行为或话语
endeavor	n. 努力,事业,vi. 试图；努力
endeavour	vi.&n.努力，尽力
endemic	adj. 地方性的
ending	n.结尾，结局；死亡
endive	n. 菊苣
endless	a.无止境的
endlessly	ad. 无尽地；不停地
endocrine	a. 内分泌的；n. 内分泌
endorse	vt. 支持,赞同,背书于,签
endorse a bill	汇票背书
endorsee	被背书人，被转让人，受让人
endorsement	n. 背书，赞同
endorsement for pledge	抵押权认定背书
endorsement guaranteed	担保背书
endorsement in blank	空白背书
endorsement in full	完全背书
endorser	背书人
endothelial	a. 内皮的
endow	vt.资助；赋予，授予
endowment	n. 捐助,天赋,才能
endowment annuity	养老年金
endue	vt. 授予,赋予,穿上
endue with	v. 赋予(才能)
endurable	a. 可忍受的,能忍耐的
endurance	n.耐久力，持久力
endure	vt.忍受；容忍
endures	n. 最终用户
enduring	a. 持久的
enemy	n.敌人；仇敌；敌兵
energetic	a.积极的；精力旺盛的
energetics	n. 动能学
energize	vt.给与…能量；电压
energy	n.活力；精力；能
energy crisis	能源危机
energy poor	能源贫乏
energy problem	能源问题
enervate	v. 使虚弱，使无力
enfeeble	vt. 使衰弱
enfold	vt. 包进,拥抱
enforce	vt.实施，执行；强制
enforceable	 adj. 可强行的; 可实施的
enforced	a. 强加的
enforcement	n. 执行,强制
enfranchise	v. 给予选举权，释放(奴隶)
enfranchisement	n. 参政
eng.	(同)england，english
engage	vt.使从事于；聘用
engage in	从事于，参加；忙着；使从事于，使忙于
engage in speculation	从事投机
engage with order	执行各项订单
engaged	adj. 占用的，从事…的
engaged in	使从事于，使忙于
engaged with	与…有事商谈
engagement	n.婚约；约会，债务
engagement clause	保证条款
engagement letter	聘书
engaging	adj. 迷人的，美丽动人的
engels	恩格斯
engender	v. 产生，引起
engine	n.发动机，引擎；机车
engineer	n.工程师，技师
engineering	n.工程，工程学
engine-room	n. 机器房
enginery	n. 机器,机械类,兵器
England	n.英格兰；(泛指)英国
englander	n. 英格兰人；英国人
English	adj.英国的 n.英语
Englishman	n.英国男子
englishmen	n. englishman的复数
englishwoman	n. 英国女人
engraft	vt. 使牢记,灌输,嫁接
engrave	vt. 刻上,雕刻,铭记
engraver	n. 雕刻师,雕工
engraving	n. 雕刻,镌版术,雕版
engross	v. 全神贯注于
engrossed	全神贯注的
engrossing	adj. 引人入胜的
engrossment	垄断产品，哄抬讪价
engulf	v. 吞噬
enhance	vt.提高，增加；夸张
enhanced	a.加强的
enhancement	n. 提高；增加
enigma	n. 谜，谜一样的人或事
enigmatic	adj. 神秘的，难解的
enigmatical	a. 难解的,谜一般的,不可思议的
enjoin	v. 命令，吩咐
enjoy	vt.享受；欣赏，喜爱
enjoy oneself	过得快乐；过得愉快；过得快活；玩得高兴
enjoyable	a. 可享受的,令人愉快的
enjoyment	n.享乐；欣赏
enkindle	v. 煽动，点燃(感情怒3气等)
enlarge	vt.扩大，扩展；放大
enlargement	n. 扩大
enlighten	vt.启发，开导；启蒙
enlightened	 adj.开明的；有知识的；有见识的
enlightening	adj. 给人启发的
enlightenment	n. 教化，启蒙
enlist	v. (使)入伍从军，征募
enlistment	n. 征兵
enliven	vt. 使活泼,使生动
enmesh	v. (通常被动)绊住，陷入网
enmity	n. 敌意，仇恨
ennoble	vt. 授予爵位,使高贵
ennui	n. 倦怠,厌倦
enormious	a. 巨大的，庞大的
enormity	n. 极恶，暴行，巨大
enormous	a.巨大的，庞大的
enormous success	巨大成功
enormously	ad. 巨大的，庞大的
enough	adj.足够的adv.充分地
enough for	足够的，充足的
enough to	足以
enplane	乘飞机
enpuire	v. 打听，询问调查，查问(enpuire=inpuire)
enquire	vi.vt. 询问
enquiry	v. 询问
enrage	vt. 激怒,使暴怒
enrapture	v. 使狂喜，使高兴
enrich	vt.使富裕；使丰富
enrichment	n. 致富
enrol	vt.登记，招收
enroll	vt.登记，招收vi.参军
enrollment	n. 登记,注册,入伍
enrolment	n.登记,注册,入伍
ensanguine	vt. 满身染血,血染,使成血红色
ensconce	v. 藏匿；庇护；安置，安坐
ensemble	n. (法)全体；合唱团；总体，集合体；大合唱
enshrine	v. 奉为神圣，珍藏
enshroud	vt. 掩盖,隐蔽
ensign	n. 舰旗
ensilage	n. 未干秣草之保藏,保藏于地窖中的未干秣草
enslave	vt. 奴役,束缚,沉溺,征服
ensnare	v. 诱入陷阱，进入罗网
ensue	vi. 跟着发生,继起
ensure	vt.保证；保护；赋予
ensure sb. against	保护某人免受…
ent	耳鼻喉科
entail	vt. 使成为必要；必须包括
entangle	v. 使纠缠，卷入
entanglement	n. 纠缠，牵累
entente	n. 协定,协约
enter	vt.走进，进入；参加
enter a bid	投标
enter for	报名参加(比赛)
enter into	进入；参加；开始从事
enter upon	开始，着手
enterprise	n.艰巨的事业；事业心
enterprise accounting	企业会计
enterprise cost	企业成本
enterprise entity	企业实体
enterprise fund	企业基金
enterprise union	企业工会
enterprising	adj. 有进取心的，有事业心的
entertain	vt.使欢乐；招待
entertain claim	接受索赔
entertain offer	接受报盘
entertain order	接受订单
entertainer	表演者
entertaining	a. 有趣的
entertainment	n.招待，招待会
enthral	vt. 迷惑,奴役,迷住
enthrall	v. 迷惑，迷住
enthrone	vt. 立...为王,使登极,任为主教,
enthusiasm	n.热情，热心，热忱
enthusiast	n. 热心家,狂热者,爱好者
enthusiastic	a.热情的，热心的
enthusiastic about	很热心
enthusiastically	ad. 热心地,狂热地
entice	v. 纵恿，引诱
enticement	n. 诱骗，诱人
entire	a.全部的，整个的
entirely	adv.完全地；彻底地
entirety	n. 全部,完全
entitle	vt.把…称作
entitled	有资格的
entity	n. 实体，统一体
entomology	n. 昆虫学
entrails	n. 内脏，肠
entrance	n.入口；进入；入场
entrance hall	门厅
entrap	vt. 骗入,诱捕,使陷入
entreat	vt.&vi.恳求
entreaty	n. 恳求，哀求
entree	n. 入场许可,主菜
entrench	vt. 保证；确立
entrenched	adj. (权力风俗等)确立的，确定的
entrenchment	n. 掘壕沟,壕沟,防卫工事
entrepreneur	n. 企业家，创业人
entrepreneurial ability	企业家能力
entrust	v. 委托，付托
entry	n.入口处；登记；进入
entry free goods	免税的进口报单
entry permit	入境签证
entwine	v. 使缠绕，交织
enumerate	v. 列举枚举
enumeration	n. 计算,列举,细目
enunciate	v. 发音，(清楚地)表达
enunciation	n. 阐明，发表
envelop	vt. 包封,遮盖,包围
envelope	n.信封
envenom	vt. 下毒,使恶毒,毒化
enviable	a. 令人羡慕的,可羡慕的
envious	a. 嫉妒的,羡慕的
enviously	ad.羡慕地；妒忌地
environ	vt. 包围,环绕
environment	n.环境，外界；围绕
environmental	 adj. 环境的；环境产生的；周围的
environs	n. 郊外，郊区；城郊
envisage	v. 正视，想象
envision	vt. 预想；v. 展望，想象
envoy	n. 使者，代表，跋词，后记
envy	n.&vt.羡慕；忌妒
enwrap	vt. 围绕,包围
enzyme	n. 酵素，酶
eon	n. 永世,无数的年代
epaulet	n. 肩章，肩饰
ephedrine	n. 麻黄碱；麻黄素
ephemeral	adj. 朝生暮死的，生命短暂的
ephod	n. 犹太教的大祭司的法衣
epic	n. 史诗
epicenter	n.中心
epicentre	震中
epicure	n. 美食家
epicurean	adj. 好享乐的享乐主义的
epidemic	adj. 传染性的，流行性的
epidermis	n. 表皮，外皮
epiglottis	n. 会厌
epigram	n. 警句，讽刺短诗
epigrammatic	adj. 警句的
epilepsy	n. 癫痫症
epileptic	a. 癫痫的,癫痫性的
epilogue	n. 收场白，尾声
Episcopal	a. 主教的,主教制度的,英国国教的
episcopalian	a. 主教制度的,主教派的
episode	n.一段情节；插曲
epistemology	n. 认识论(对知识本质的研究)
epistle	n. (长而重要的)书信
epistolary	a. 书信的,用书信的,书信体的
epitaph	n. 墓志铭
epithelial	a. 上皮的
epithet	n. (贬低人的)短语或形容词
epitome	n. 典型，梗概
epoch	n.(新)时代；历元
epoch-making	adj. 划时代的
equable	adj. 稳定的，（脾气）温和的
equal	a.相等的；平等的
equal to	等于；相等的，均等的；胜任的，经得起的
equality	n.等同，平等；相等
equalization	n. 使均等,同等化,平等化
equalize	vt. 使相等,补偿
equalizing differences	补偿差别
equally	adv. 相等地，相同地；同样；平等地；同样地
equanimity	n. 镇定，沉着
equate	v. 使相等；与...相提并论，视为同等；vt. (with)使相等，使等同
equation	n.方程(式)；等式
equation of exchange	交易方程式
equator	n.赤道，天球赤道
equatorial	a. 近赤道的,赤道的
equestrian	a. 骑马的,马的,在马背上的
equidistant	a. 距离相等的,等距的
equilibrium	n.平衡，均衡；均衡论
equine	adj. 马的，似马的
equinoctial	n. 春分或秋分时的暴风雨
equinox	n. 昼夜平分点,春分或秋分
equip	vt.装备，配备
equip with	装备，配备
equipage	n. 装备
equipment	n.装备；设备
equipoise	n. 平衡,均衡
equitable	adj. 公平的，公正的
equitably	公平地
equitation	n. 骑术
equity	n. 公平，公正
equity trading	举债经营
equivalence	n. 相等，等值；等价，等量
equivalent	a.相等的；等量的
equivalent exchange	等价交换
equivalent to	相等的，等价的，等值的
equivocal	adj. 意义含糊的，不直率的
equivocate	v. 模棱两可地说，支吾其词
equivocation	n. 模棱两可的话,含糊话
er	interj. 呃，啊，这；欧(说话犹豫等)
era	n.时代，年代；纪元
eradicate	v. 根除，扑灭
eradication	n. 根除
erase	v. 擦掉，抹去
eraser	n. 橡皮擦；黑板擦
erasure	n. 抹去；擦掉，擦痕
ere	pron. & conj. 在…之前
erect	vt.建造；使竖立
erection	n. 直立,竖起,建筑物
eremite	n. 隐士，遁世修行的人
erewhile	ad. 片刻前,以前
ergo	 adv. ((谑))因此,所以
eric	埃里克(男名)
ermine	n. 貂,貂的白毛皮
erode	v. 腐蚀，侵蚀
erode authority	侵权
erosion	n.腐蚀，侵蚀；糜烂
erotic	adj. 性爱的，色情的(作品)
err	vi. 犯错,做错,犯罪
errand	n.差使，差事
errant	adj. 错误的，脱离正途的
erratic	adj. 反复无常的古怪的
erroneous	a. 错误的,不正确的
error	n.错误，谬误；差错
ersatz	adj. 代用的，假的
erst	ad. 以前,往昔的
erstwhile	adj. 往日的，以前的
erudite	adj. 博学的，饱学的
erudition	n. 博学
erupt	vt. 喷发，迸发；长牙；爆发，v. 喷发，爆发；喷出火焰；(火山等)进发
eruption	n. 爆发
eruptive	a. 暴发的,喷火的
erysipelas	n. 丹毒
erythema	红斑
erythrocyte	n. 红细胞
escalate	v. (战争等)升级，扩大，上升
escalator	n. 电动扶梯
escapade	n. 异常出轨的行为
escape	n.&vi.逃跑
escape clause	例外条款，卸责条款
escape liability	逃避责任
escape of taxation	逃税
escapist	n. 会消遣的人
escarpment	n. 悬崖,断崖,绝壁
eschew	v. 避开，戒绝
escort	n.&vt.护卫，护送
escorted group tour	有陪同的团体旅游
escrow	由第三者保存的契约或证书
escrow barter	记帐易货
escutcheon	n. 饰有纹章的盾
Eskimo	n. 爱斯基摩人
esophagus	n. 食道
esoteric	adj. 秘传的，神秘的
especial	a. 特别的,特殊的
especially	ad.特别，尤其，格外
esperanto	n. 世界语
espionage	n. 间谍活动
espousal	n. 拥护，支持
espouse	v. 支持，拥护
esprit	 n. 精神; 机智,才智
esprit de corps	n. 团体精神
espy	v. (从远处等)突然看到
esquire	n. 先生(信件用语)
essay	n.短文，散文，小品文
essayist	n. 随笔作家,评论家
essence	n.本质，本体；精华
essential	a.必要的，本质的
essential to	必要的，必不可少的
essentially	 adj. 本质上，实质上；ad. 本质上，基本上；实质上，本来
establish	vt.建立，设立；确立
established	adj. 已建立的；既定的，确定的
established practice	成规；惯例
establishment	n.建立，设立，确立
establishment survey	企业调查
estate	n.房地产；财产，产业
estate tax	(缩)e.t，遗产税，财产税
esteem	n. 尊敬,尊重
esthetic	a. 审美的
estimable	adj. 值得敬重的，可估计的
estimate	vt.估计，评价 n.估计
estimate price	估价
estimate the cost	计算成本
estimation	n. 判断,值计,尊重
estrange	v. 使疏远
estranged	adj. 疏远的,不和的
estrangement	n. 疏远
estuary	n. 河口，三角湾
etc.	n. 等等
etch	v. 蚀刻，铭刻
etching	n. 蚀刻技术
eternal	n.永久的；不朽的
eternally	ad. 永久地；不朽地
eternity	n. 永远,来世,不朽
ether	n. 醚,大气,苍天,以太
ethereal	adj. 太空的，轻巧的
ethic	a. 伦理(等)的，道德的
ethical	a. 伦理的,民族的,民族特有的
ethics	n. 道德体系，行为准则
ethiopia	n. 埃塞俄比亚
ethiopian	adj. 埃塞俄比亚的
ethnic	a. 种族的
ethnical	a. 人种的；种族的
ethnography	n. 人种学，人种论
ethnology	n. 人种学
ethos	n. (个人，团体或民族)道德风貌，思潮信仰
ethyl chloride	n. 氯乙烷(表面麻醉剂)
etiquette	n. 礼仪礼节
etude	n. 练习曲
etymology	n. 语源学
eucalyptus	n. 桉树
Eucharist	n. 圣餐
eugenic	adj. 优生(学)的
eulogistic	adj. 颂扬的，歌功颂德的
eulogize	v. 颂扬；赞美
eulogy	n. 颂词，颂文
eunuch	n. 太监,宦官,柔弱的男人
euphemism	n. 婉言，委婉的说法
euphonious	adj. 悦耳的
euphony	n. 悦耳的语音
euphoria	n. 幸福愉快感；心情愉快；情绪高涨
Eurasia	n. 欧亚大陆
eurasian	a. 欧亚的
eurhythmic	adj. 匀称的，协调的
eurobank	欧洲银行
Europe	n.欧洲
European	a.欧洲的 n.欧洲人
european currency unit	欧洲货币单位
euthanasia	n. 无痛苦的死亡；安死乐
evacuate	v. 撤退，撤离
evacuation	n. 撤退,走开
evade	v. 逃避，规避
evaluate	vt. 评价，估…的价；估计；估价，评估；求…的值；估算，求值
evaluation	n. 评估；估价，评价；赋值
evanescent	adj. 短暂的，瞬息的
evangelical	adj. 福音 (书) 的,福音传道的
evangelist	n. 福音传道者,圣经新约福音书的作者
evans	(姓)埃文斯；埃文斯(姓)
evaporate	vt.使脱水vi.发散蒸气
evaporation	n. 蒸发
evaporator	 n. 蒸发器,干燥器
evasion	n. 逃避,藉口
evasion and avoidance	逃税与避税
evasion fiscal	漏税
evasion of tax	逃税
evasive	adj. 逃避的
eve	n.前夜，前夕，前一刻
even	adv.甚至，即使
even as	恰恰在…的时候
even bargain	公平交易
even if	即使，纵然；虽然
even if/though	即使，虽然
even now	即使在现在
even number	偶数
even then	即使那样，连…都
even though	即使；虽然
even though/if	即使，虽然
evening	n.傍晚，晚上
evenly	 adv.一致地，平静地；平坦地，均匀地
evens	埃文斯(姓)
event	n.事件，大事；事变
even-tempered	adj. 性情平和的，不易生气的
eventful	a. 变故多的,多事的,重要的
eventide	n. 黄昏,日暮
eventual	a. 最后的,终于的,可能的
eventually	ad.终于；最后
ever	adv.曾经
ever since	从那时起一直到现在；从那时起，自那时以来
ever so	非常，极其
ever-bubbling	不断涌出的
everest	n. 珠穆朗玛峰
evergreen	n. 常绿树,常绿植物
ever-increasing	a. 不断增长的
everlasting	a.永久的；持久的
evermore	ad. 永远,经常,从此以后
ever-present	a. 无时无刻不在的
every	adj.每一，每个的
every bit	每一点，完全(一样)
every day	每天
every fifth year	每隔五年
every little while	每隔一会儿
every now and then	不时地
every other	每隔一个…的；每隔一个的
every other day	每隔一天；隔日
every time	每一次，每当
every two years	每两年
everybody	pron.每人，人人
everyday	a.每天的，日常的
everyone	pron.每人，人人
everything	pron.每件事,每样东西
everywhere	adv.到处，无论哪里
evict	v. (依法)驱逐
evidence	n.根据；证据，证人
evidence for	为…的证据
evident	a.明显的，明白的
evidently	adv. 明显地，显然
evil	adj.邪恶的 n.罪恶
evince	v. 表明，表示
eviscerate	v. 取出肠及内脏
evitable	adj. 可避免的；可心以避免的
evocative	adj. 唤起的，激起的
evoke	v. 引起，唤起
evolute	a. (数学)渐屈线
evolution	n.发展；演变
evolutionary	adj. 进化论的
evolutionist	n. 进化论者
evolve	vt.使进化；使发展
ewe	n. 母羊
ewer	n. 大口水罐
ex	prep. 在…交货；无不，末
ex bonded warehouse	关栈交货，关栈交货价
ex custom yard	在海关交货
ex dividend	不带股息
ex factory	工厂交货价格
ex interest	无利息
ex officio	adj. 依职权地
ex pit	场外交易
ex post	事后
ex right	除权
ex ship	船上交货价格，船上交货
exacerbate	v. 加重，恶化
exact	a.确切的；精确的
exact in	对…很严谨
exacting	a. 严格的；费力的；苛求的；要求严格的
exaction	n. 强求，勒索
exactitude	n. 正确,精密,严格,规规矩矩,精确
exactly	adv.确切地，恰恰正是
exactness	n. 正确,精确
exaggerate	vt.&vi.夸大，夸张
exaggerated	adj. 言过其辞的
exaggeration	n. 夸张
exalt	v. (高度)赞扬，歌颂
exaltation	n. (成功带来的)得意，高兴
exalted	adj. 高贵的，得意的
exam	n. (口语)考试；检查，细查；(exam＝examination)考试
examination	n.检查；考试
examine	vt.检查；诊察
examine into	查问；调
examiner	n. 主考者
example	n.例子；榜样
exasperate	v. 激怒，使恼怒
exasperation	n. 激怒
excavate	v. 挖掘，挖出
excavation	n. 挖掘，发掘，被挖掘之地
excavator	n. 开凿者,打洞机,开凿机
exceed	vt.超过，胜过；超出
exceeded	a. 过度的，非常的
exceeding	a. 超越的，非常的
exceedingly	ad.极端地，非常
excel	vt.胜过 vi.杰出
excellence	n. 优秀,卓越,优点
excellence at	杰出
excellence on	杰出
Excellency	n. 阁下,优点
excellent	adj.极好的，优秀的
excelsior	a. 不断向上的,精益求精的
except	prep.除...之外
except for	prep. 除…之外；若无
excepting	 prep. 除了…以外
exception	n.例外，除外
exception clause	例外条款
exceptionable	adj. 引起反感的
exceptional	a.例外的；优越的
exceptionally	ad. 例外地；异常地；极，很
excerpt	n. 摘录
excess	n.超越；过量；过度
excess cash	超额现金
excess deficit	超额赤字
excess of export	出超
excess of import	入超
excess of loss	超额赔款
excess present value	现值超差
excess stock	存货过多
excesses	n. 过份荒淫的行为
excessive	a.过多的，极度的
excessively	ad. 过分，极端地
exchange	vt.交换；交流 n.交换
